Name,Unit,Expression,Value,Comments,Favorite
rp1_in_1,mm,73.01688063033026 mm,73.01688063033026,,False
rp1_out_1,mm,138.29223531052514 mm,138.29223531052514,,False
ox_in_1,mm,88.29223531052516 mm,88.29223531052516,,False
ox_out_1,mm,123.01688063033028 mm,123.01688063033028,,False
rp1_hole_diameter_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
rp1_hole_diameter2_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
ox_hole_diameter_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
ox_hole_diameter2_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
negative_rp1_d_angle_1,mm,-10.52719243153509 mm,-10.52719243153509,,False
positive_rp1_d_angle_1,mm,10.52719243153509 mm,10.52719243153509,,False
positive_ox_d_angle_1,mm,7.370029564267734 mm,7.370029564267734,,False
negative_ox_d_angle_1,mm,-7.370029564267734 mm,-7.370029564267734,,False
rp1_hole_diameter3_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
rp1_hole_diameter4_1,mm,1.0424865589186054 mm,1.0424865589186054,,False
ox_hole_diameter3_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
ox_hole_diameter4_1,mm,1.3866918247649944 mm,1.3866918247649944,,False
holes_per_ring_1,,34 ,34,,False
positive_rp1_in_w_half_1,mm,2.9932627833677965 mm,2.9932627833677965,,False
negative_rp1_in_w_half_1,mm,-2.9932627833677965 mm,-2.9932627833677965,,False
positive_rp1_out_w_half_1,mm,2.9932627833677965 mm,2.9932627833677965,,False
negative_rp1_out_w_half_1,mm,-2.9932627833677965 mm,-2.9932627833677965,,False
manifold_height_1,mm,15.5 mm,15.5,,False
inj_plate_thickness_1,mm,13.0 mm,13.0,,False
w_avg_lox_1,mm,105.6545579704277 mm,105.6545579704277,,False
positive_ox_w_half_1,mm,10.123237059425291 mm,10.123237059425291,,False
